city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Guangzhou,23.1300,113.2600,China,CN,Guangdong,admin,26940000,14498400
Shanghai,31.2286,121.4747,China,CN,Shanghai,admin,24073000,24870895
Beijing,39.9067,116.3975,China,CN,Beijing,primary,18522000,18522000
Shenzhen,22.5415,114.0596,China,CN,Guangdong,minor,17619000,12528300
Chengdu,30.6600,104.0633,China,CN,Sichuan,admin,14645000,16044700
Xi’an,34.2611,108.9422,China,CN,Shaanxi,admin,12328000,8989000
Chongqing,29.5637,106.5504,China,CN,Chongqing,admin,12135000,12135000
Baoding,38.8740,115.4640,China,CN,Hebei,minor,11544036,11544036
Linyi,35.1038,118.3564,China,CN,Shandong,,11018365,11018365
Dongguan,23.0210,113.7520,China,CN,Guangdong,minor,10646000,8342500
Tianjin,39.1336,117.2054,China,CN,Tianjin,admin,10368000,13866009
Wuhan,30.5934,114.3046,China,CN,Hubei,admin,10251000,10892900
Nanyang,32.9987,112.5292,China,CN,Henan,,9713112,9713112
Hangzhou,30.2670,120.1530,China,CN,Zhejiang,admin,9523000,9468000
Foshan,23.0214,113.1216,China,CN,Guangdong,minor,9498863,9498863
Tongshan,34.2040,117.2840,China,CN,Jiangsu,minor,9083790,9083790
Zhoukou,33.6250,114.6418,China,CN,Henan,minor,9026015,9026015
Ganzhou,25.8310,114.9330,China,CN,Jiangxi,minor,8970014,8970014
Heze,35.2343,115.4796,China,CN,Shandong,minor,8795939,8795939
Quanzhou,24.8744,118.6757,China,CN,Fujian,minor,8782285,8782285
Nanjing,32.0608,118.7789,China,CN,Jiangsu,admin,8422000,7260000
Jining,35.4151,116.5871,China,CN,Shandong,,8357897,8357897
Fuyang,32.8900,115.8140,China,CN,Anhui,,8200264,8200264
Shenyang,41.8025,123.4281,China,CN,Liaoning,admin,7964000,8294000
Shangqiu,34.4150,115.6560,China,CN,Henan,,7816831,7816831
Cangzhou,38.3047,116.8387,China,CN,Hebei,minor,7300783,7300783
Xingtai,37.0717,114.5048,China,CN,Hebei,,7111106,7111106
Zhumadian,33.0140,114.0220,China,CN,Henan,,7008427,7008427
Zhanjiang,21.2701,110.3575,China,CN,Guangdong,minor,6981236,6981236
Bijie,27.2840,105.2920,China,CN,Guizhou,,6899636,6899636
Yancheng,33.3482,120.1626,China,CN,Jiangsu,minor,6709629,6709629
Hengyang,26.8940,112.5720,China,CN,Hunan,,6645243,6645243
Zunyi,27.7220,107.0310,China,CN,Guizhou,,6606675,6606675
Shaoyang,27.2395,111.4679,China,CN,Hunan,,6563520,6563520
Shangrao,28.4551,117.9431,China,CN,Jiangxi,minor,6435300,6435300
Xinyang,32.1490,114.0910,China,CN,Henan,,6234401,6234401
Maoming,21.6627,110.9255,China,CN,Guangdong,minor,6174050,6174050
Jieyang,23.5510,116.3727,China,CN,Guangdong,minor,6089400,6089400
Liaocheng,36.4559,115.9852,China,CN,Shandong,minor,5952128,5952128
Huanggang,30.4537,114.8724,China,CN,Hubei,minor,5882719,5882719
Dalian,38.9000,121.6000,China,CN,Liaoning,,5871474,5871475
Qingdao,36.0669,120.3827,China,CN,Shandong,minor,5818255,5818256
Yulin,22.6540,110.1810,China,CN,Guangxi,minor,5796766,5796766
Qujing,25.4910,103.7960,China,CN,Yunnan,,5765775,5765775
Nangandao,35.3036,113.9268,China,CN,Henan,minor,5708191,5708191
Pudong,31.2347,121.5064,China,CN,Shanghai,minor,5681512,5681512
Zhengzhou,34.7640,113.6840,China,CN,Henan,admin,5621593,5621594
Dezhou,37.4360,116.3590,China,CN,Shandong,minor,5611194,5611194
Nanchong,30.8372,106.1106,China,CN,Sichuan,minor,5607565,5607565
Jinan,36.6702,117.0207,China,CN,Shandong,admin,5606374,5606375
Tai’an,36.2020,117.0870,China,CN,Shandong,,5472217,5472217
Langfang,39.5383,116.6835,China,CN,Hebei,minor,5464087,5464087
Dazhou,31.2093,107.4678,China,CN,Sichuan,minor,5385422,5385422
Suzhou,33.6333,116.9683,China,CN,Anhui,,5324476,5324476
Yongzhou,26.4200,111.6130,China,CN,Hunan,,5289824,5289824
Changde,29.0310,111.6990,China,CN,Hunan,minor,5279102,5279102
Xiangyang,32.0100,112.1220,China,CN,Hubei,minor,5260951,5260951
Zhaotong,27.3380,103.7170,China,CN,Yunnan,,5092611,5092611
Zhangzhou,24.5130,117.6470,China,CN,Fujian,minor,5054328,5054328
Yichun,27.8160,114.4170,China,CN,Jiangxi,minor,5007702,5007702
Bozhou,33.8626,115.7742,China,CN,Anhui,,4996844,4996844
Suqian,33.9331,118.2831,China,CN,Jiangsu,,4986192,4986192
Ji’an,27.0912,114.9668,China,CN,Jiangxi,minor,4956600,4956600
Guilin,25.2750,110.2960,China,CN,Guangxi,minor,4931137,4931137
Pingdingshan,33.7350,113.2999,China,CN,Henan,,4904701,4904701
Mianyang,31.4680,104.6790,China,CN,Sichuan,minor,4868243,4868243
Huanglongsi,34.7950,114.3450,China,CN,Henan,,4824016,4824016
Yuncheng,35.0267,111.0070,China,CN,Shanxi,,4774508,4774508
Changsha,28.2280,112.9390,China,CN,Hunan,admin,4766296,4766297
Weinan,34.5206,109.4710,China,CN,Shaanxi,minor,4688744,4688744
Chenzhou,25.7700,113.0160,China,CN,Hunan,minor,4667134,4667134
Jiangmen,22.5789,113.0815,China,CN,Guangdong,minor,4630300,4630300
Jiujiang,29.6610,115.9540,China,CN,Jiangxi,minor,4600276,4600276
Xinpu,34.5966,119.2214,China,CN,Jiangsu,minor,4599360,4599360
Yibin,28.7520,104.6430,China,CN,Sichuan,minor,4588804,4588804
Huaihua,27.5698,110.0016,China,CN,Hunan,,4587594,4587594
Yangzhou,32.3912,119.4363,China,CN,Jiangsu,,4559797,4559797
Taizhou,32.4567,119.9229,China,CN,Jiangsu,minor,4512762,4512762
Kunming,25.0464,102.7094,China,CN,Yunnan,admin,4422686,4422687
Yiyang,28.5549,112.3560,China,CN,Hunan,,4413800,4413800
Changchun,43.8970,125.3260,China,CN,Jilin,admin,4408154,4408155
Lu’an,31.7360,116.5200,China,CN,Anhui,minor,4393699,4393699
Jiangguanchi,34.0244,113.8201,China,CN,Henan,minor,4379998,4379998
Meizhou,24.2890,116.1220,China,CN,Guangdong,minor,4378800,4378800
Ürümqi,43.8225,87.6125,China,CN,Xinjiang,admin,4335017,4335018
Suzhou,31.3000,120.6194,China,CN,Jiangsu,minor,4330000,4330001
Guigang,23.1120,109.5990,China,CN,Guangxi,minor,4316262,4316262
Shantou,23.3540,116.6820,China,CN,Guangdong,minor,4312192,4312193
Xiaoganzhan,30.9180,113.9570,China,CN,Hubei,,4270371,4270371
Luzhou,28.8710,105.4420,China,CN,Sichuan,minor,4218427,4218427
Hefei,31.8206,117.2273,China,CN,Anhui,admin,4216940,4216941
Hengshui,37.7390,115.6690,China,CN,Hebei,minor,4212933,4212933
Anqing,30.5318,117.1153,China,CN,Anhui,minor,4165284,4165284
Liuzhou,24.3264,109.4281,China,CN,Guangxi,minor,4157934,4157934
Zhangjiakou,40.7690,114.8860,China,CN,Hebei,minor,4118908,4118908
Zhaoqing,23.0500,112.4667,China,CN,Guangdong,minor,4113594,4113594
Shijiazhuang,38.0425,114.5100,China,CN,Hebei,admin,4098243,4098244
Ningbo,29.8603,121.6245,China,CN,Zhejiang,minor,4087523,4087524
Qiqihar,47.3549,123.9182,China,CN,Heilongjiang,minor,4067489,4067489
Fuzhou,27.9490,116.3580,China,CN,Jiangxi,,4047200,4047200
Chifeng,42.2570,118.8880,China,CN,Inner Mongolia,minor,4035967,4035967
Xiaoxita,30.6920,111.2870,China,CN,Hubei,minor,4017607,4017607
Chuzhou,32.2560,118.3330,China,CN,Anhui,,3987054,3987054
Linfen,36.0880,111.5190,China,CN,Shanxi,,3976481,3976481
Qingyuan,23.6820,113.0560,China,CN,Guangdong,minor,3969473,3969473
Xianyang,34.3299,108.7088,China,CN,Shaanxi,minor,3959842,3959842
Loudi,27.6998,111.9944,China,CN,Hunan,,3931800,3931800
Binzhou,37.3830,117.9710,China,CN,Shandong,,3928568,3928568
Zhuzhou,27.8290,113.1330,China,CN,Hunan,minor,3902738,3902738
Taiyuan,37.8704,112.5497,China,CN,Shanxi,admin,3875053,3875054
Nanning,22.8167,108.3275,China,CN,Guangxi,admin,3837978,3837979
Harbin,45.7576,126.6409,China,CN,Heilongjiang,admin,3830000,10635971
Suihua,46.6540,126.9690,China,CN,Heilongjiang,minor,3756167,3756167
Zaozhuang,34.8109,117.3238,China,CN,Shandong,,3729140,3729140
Xiamen,24.4796,118.0889,China,CN,Fujian,minor,3707090,3707091
Neijiang,29.5802,105.0580,China,CN,Sichuan,minor,3702847,3702847
Fuzhou,26.0743,119.2964,China,CN,Fujian,admin,3671192,3671193
Baicheng,23.9030,106.6190,China,CN,Guangxi,minor,3669400,3669400
Wuhu,31.3526,118.4331,China,CN,Anhui,minor,3644420,3644420
Yulinshi,38.2858,109.7341,China,CN,Shaanxi,,3634750,3634750
Wenzhou,27.9938,120.6993,China,CN,Zhejiang,,3604446,3604447
Changzhou,31.8110,119.9740,China,CN,Jiangsu,minor,3601079,3601080
Puyang,35.7627,115.0292,China,CN,Henan,minor,3598740,3598740
Jiaozuo,35.2157,113.2419,China,CN,Henan,,3590700,3590700
Nanchang,28.6830,115.8580,China,CN,Jiangxi,admin,3576547,3576548
Deyang,31.1270,104.3980,China,CN,Sichuan,minor,3456161,3456161
Hohhot,40.8420,111.7490,China,CN,Inner Mongolia,admin,3446100,3446100
Hechi,24.6930,108.0850,China,CN,Guangxi,minor,3417945,3417945
Tangshan,39.6294,118.1739,China,CN,Hebei,,3399231,3399232
Shiyan,32.6290,110.7987,China,CN,Hubei,minor,3398000,3398000
Anshan,41.1080,122.9940,China,CN,Liaoning,,3325372,3325372
Baojishi,34.3630,107.2380,China,CN,Shaanxi,,3321853,3321853
Qinzhou,21.9810,108.6540,China,CN,Guangxi,minor,3304400,3304400
Guiyang,26.6470,106.6300,China,CN,Guizhou,admin,3299724,3299725
Bengbu,32.9170,117.3890,China,CN,Anhui,,3296408,3296408
Bazhou,31.8680,106.7480,China,CN,Sichuan,minor,3283148,3283148
Suining,30.5330,105.5930,China,CN,Sichuan,minor,3252619,3252619
Wuxi,31.4910,120.3120,China,CN,Jiangsu,minor,3245179,3245180
Hanzhong,33.0664,107.0232,China,CN,Shaanxi,,3211462,3211462
Putian,25.4526,119.0078,China,CN,Fujian,minor,3210714,3210714
Zhenjiang,32.1880,119.4240,China,CN,Jiangsu,minor,3210418,3210418
Guang’an,30.4564,106.6326,China,CN,Sichuan,minor,3205476,3205476
Changzhi,36.1950,113.1170,China,CN,Shanxi,minor,3180884,3180884
Tongren,27.7316,109.1895,China,CN,Guizhou,,3168800,3168800
Leshan,29.5520,103.7660,China,CN,Sichuan,,3160168,3160168
Qinhuangdao,39.8882,119.5202,China,CN,Hebei,,3146300,3146300
Xinzhou,38.4160,112.7340,China,CN,Shanxi,minor,3067501,3067501
Lanzhou,36.0606,103.8268,China,CN,Gansu,admin,3067141,3067142
Wuzhou,23.4767,111.2790,China,CN,Guangxi,minor,3061100,3061100
Huainan,32.6314,117.0194,China,CN,Anhui,,3033528,3033528
Qincheng,34.5809,105.7311,China,CN,Gansu,minor,2984659,2984659
Rizhao,35.4170,119.5270,China,CN,Shandong,minor,2968365,2968365
Meishan,30.0771,103.8484,China,CN,Sichuan,,2950545,2950545
Ningde,26.6662,119.5477,China,CN,Fujian,minor,2910000,2910000
Zhongshan,22.5170,113.3925,China,CN,Guangdong,minor,2909633,2909634
Weihai,37.5133,122.1205,China,CN,Shandong,minor,2906548,2906548
Haikou,20.0186,110.3488,China,CN,Hainan,admin,2873358,2873358
Tongliao,43.6540,122.2430,China,CN,Inner Mongolia,minor,2873168,2873168
Chaoyang,41.5710,120.4530,China,CN,Liaoning,,2872857,2872857
Shaoguan,24.8110,113.5970,China,CN,Guangdong,minor,2855131,2855131
Heyuan,23.7443,114.7002,China,CN,Guangdong,minor,2837686,2837686
Daqing,46.5890,125.1040,China,CN,Heilongjiang,minor,2781562,2781562
Xiangtan,27.8313,112.9454,China,CN,Hunan,,2726181,2726181
Longyan,25.0760,117.0170,China,CN,Fujian,minor,2723637,2723637
Baotou,40.6213,109.9532,China,CN,Inner Mongolia,,2709378,2709378
